,strategy,prompt_id,worker,cost,latency,reasoning,actual_verdict,status,selection_status,contenders,worker_worker_id,worker_archetype,worker_total_cores,worker_total_gpus,worker_total_nodes,worker_available_nodes,worker_available_cores,worker_cores_per_node,worker_gpus_per_node,worker_available_gpus,worker_queue_depth,worker_pricing_node,worker_pricing_cpu,worker_pricing_gpu
0,agentic,86,42,0.65,2.1152318278327584,"Cluster 42 has a shorter queue, GPUs, and NFS support. Patsy needs to be installed by the user on both clusters.",BUSY,SUCCESS,SelectionStatus.SELECTED,2,42,hpc,768200.0,1071.0,7682.0,152.0,15200.0,100.0,7.0,1064.0,7530.0,0.65,0.015,0.16
1,agentic,51,54,,1.0926219199318439,All options are BUSY. Cluster 54 has the shortest queue depth.,BUSY,SUCCESS,SelectionStatus.SELECTED,33,54,hpc,1121456.0,1504.0,9424.0,188.0,22372.0,119.0,8.0,1504.0,9237.0,0.65,0.015,0.16
2,agentic,44,,,0.8859244210179895,All selection strategies failed. AgenticSelector: No clusters available to evaluate.,,REJECTED,SelectionStatus.REJECTED,1,,,,,,,,,,,,,,
3,agentic,83,2,2.6,1.5650230920873582,Flask 3.6.2 is pre-installed; all clusters are BUSY.,BUSY,SUCCESS,SelectionStatus.SELECTED,7,2,hpc,251328.0,390.0,3927.0,76.0,4898.0,64.0,5.0,380.0,3850.0,0.65,0.015,0.16
4,agentic,48,,,1.2664972448255867,All selection strategies failed. AgenticSelector: No clusters available to evaluate.,,REJECTED,SelectionStatus.REJECTED,1,,,,,,,,,,,,,,
5,agentic,75,79,0.65,3.044860400026664,Supports Omnipath and OpenMPI with UCX for low-latency MPI. All options are BUSY.,BUSY,SUCCESS,SelectionStatus.SELECTED,5,79,hpc,748604.0,2556.0,7268.0,425.0,43793.0,103.0,6.0,2550.0,6843.0,0.65,0.015,0.16
6,agentic,87,78,0.65,1.1999920271337032,"Only option presented, meets hardware and network requirements, but is BUSY.",BUSY,SUCCESS,SelectionStatus.SELECTED,1,78,hpc,543634.0,2324.0,5974.0,580.0,52826.0,91.0,4.0,2320.0,5394.0,0.65,0.015,0.16
7,agentic,5,68,,1.9874169980175793,"All clusters are busy, but cluster 68 has sufficient GPUs and the lowest reported queue depth.",BUSY,SUCCESS,SelectionStatus.SELECTED,4,68,hpc,1212498.0,4938.0,9623.0,823.0,103769.0,126.0,6.0,4938.0,8801.0,0.65,0.015,0.16
8,agentic,49,,,0.9951876609120518,"All selection strategies failed. AgenticSelector: Cluster 80 is the only proposal, but it does not meet the 8 GPU per node requirement and is currently BUSY.",,REJECTED,SelectionStatus.REJECTED,1,,,,,,,,,,,,,,
9,agentic,61,12,0.65,1.9872594338376075,"Cluster 12 is READY and provides the necessary environment, albeit without pre-installed Cython or AVX support. User can configure the environment in the container.",BUSY,SUCCESS,SelectionStatus.SELECTED,18,12,standalone,27.0,0.0,1.0,0.0,-13.0,27.0,0.0,0.0,1.0,0.12,0.01,0.44
10,agentic,79,7,0.65,3.709910915000364,"Cluster 7 has horovod <= 0.2.13 installed, though it is BUSY. This is a better match than cluster 16 which does not have the software installed. It also has a slightly shallower queue than cluster 79.",BUSY,SUCCESS,SelectionStatus.SELECTED,3,7,hpc,1112274.0,1092.0,9117.0,181.0,22082.0,122.0,6.0,1086.0,8936.0,0.65,0.015,0.16
11,agentic,57,5,0.65,1.4907093469519168,"Better hardware match (6 H100 GPUs, ethernet) even though the queue is busy.",BUSY,SUCCESS,SelectionStatus.SELECTED,2,5,hpc,654624.0,5232.0,6819.0,871.0,83621.0,96.0,6.0,5226.0,5948.0,0.65,0.015,0.16
12,agentic,4,100,0.65,1.963711071992293,Least busy with suitable GPUs and Pymatgen available.,BUSY,SUCCESS,SelectionStatus.SELECTED,4,100,hpc,499467.0,570.0,5741.0,113.0,9831.0,87.0,5.0,565.0,5628.0,0.65,0.015,0.16
13,agentic,34,,,1.779095474164933,"All selection strategies failed. AgenticSelector: No READY clusters available. Cluster 1 is negligibly better, but still not suitable without user intervention and a large queue.",,REJECTED,SelectionStatus.REJECTED,2,,,,,,,,,,,,,,
14,agentic,47,10,0.65,1.3282558568753302,"Requested number of GPUs, low latency MPI support and the 'evaluate' package may be installed.",BUSY,SUCCESS,SelectionStatus.SELECTED,2,10,hpc,1255776.0,12200.0,9888.0,1524.0,193615.0,127.0,8.0,12192.0,8364.0,0.65,0.015,0.16
15,agentic,40,,,3.5230568279512227,All selection strategies failed. AgenticSelector: No cluster matches the requirements and is available.,,REJECTED,SelectionStatus.REJECTED,34,,,,,,,,,,,,,,
16,agentic,50,66,78.65,1.717351749073714,"All clusters are busy, choosing cluster 66 as it has the shortest queue. The user will have to install dvc themselves.",BUSY,SUCCESS,SelectionStatus.SELECTED,6,66,hpc,919255.0,6420.0,8135.0,1059.0,119667.0,113.0,6.0,6354.0,7066.0,0.65,0.015,0.16
17,agentic,3,82,0.65,1.6527842190116644,Shortest queue depth among the clusters that meet all requirements.,BUSY,SUCCESS,SelectionStatus.SELECTED,18,82,hpc,497728.0,113.0,5656.0,112.0,9856.0,88.0,1.0,112.0,5544.0,0.65,0.015,0.16
18,agentic,36,16,,2.5375054460018873,"Cluster has the shortest queue of those that meet the hardware and software requirements, even though the user must install Keras-CV.",BUSY,SUCCESS,SelectionStatus.SELECTED,12,16,hpc,1002588.0,10270.0,8643.0,2054.0,238351.0,116.0,5.0,10270.0,6590.0,0.65,0.015,0.16
19,agentic,46,,,0.955984097905457,All selection strategies failed. AgenticSelector: No clusters available.,,REJECTED,SelectionStatus.REJECTED,1,,,,,,,,,,,,,,
20,agentic,67,10,1.3,2.9976310620550066,"Cluster 10 has MAGMA 2.6.2 available and 8 GPUs per node. Although busy, it better matches the resource requirements than cluster 68.",BUSY,SUCCESS,SelectionStatus.SELECTED,2,10,hpc,1255776.0,12200.0,9888.0,1523.0,193488.0,127.0,8.0,12184.0,8365.0,0.65,0.015,0.16
21,agentic,27,80,,1.4261474830564111,"Cluster 80 is the only cluster reporting READY, so selected even though actual_verdict shows BUSY. It meets the GPU and MPI requirements, user will need to install dask.",BUSY,SUCCESS,SelectionStatus.SELECTED,7,80,hpc,1280000.0,1400.0,10000.0,200.0,25600.0,128.0,7.0,1400.0,9801.0,0.65,0.015,0.16
22,agentic,94,,,1.6352422141935676,All selection strategies failed. AgenticSelector: No perfect match. Cluster 25 has the best GPU match but no requested software version and is under memory pressure. All clusters are BUSY.,,REJECTED,SelectionStatus.REJECTED,4,,,,,,,,,,,,,,
23,agentic,28,,,1.6424097269773483,"All selection strategies failed. AgenticSelector: No cluster meets the requirements and is READY. Both are BUSY, and cluster 78 cannot fulfill the 5 GPU requirement, making cluster 41 a slightly better (though still unacceptable) candidate.",,REJECTED,SelectionStatus.REJECTED,3,,,,,,,,,,,,,,
24,agentic,66,66,31.849999999999998,2.150707306107506,"Best hardware and MPI support, despite being BUSY and lacking pre-installed flax.",BUSY,SUCCESS,SelectionStatus.SELECTED,3,66,hpc,919255.0,6420.0,8135.0,1052.0,118876.0,113.0,6.0,6312.0,7067.0,0.65,0.015,0.16
25,agentic,20,67,9994.400000000001,2.139256685040891,Cluster 67 is the best match and immediately available. Singularity is emulated by docker.,BUSY,SUCCESS,SelectionStatus.SELECTED,15,67,cloud,11392.0,340.0,178.0,46.0,2982.0,64.0,2.0,92.0,9.0,1.5,0.08,1.49
26,agentic,15,48,0.65,1.6968876468017697,All clusters are BUSY and require trl to be installed. Cluster 48 has one of the shortest queue depths.,BUSY,SUCCESS,SelectionStatus.SELECTED,5,48,hpc,684881.0,1647.0,6781.0,548.0,55348.0,101.0,3.0,1644.0,6233.0,0.65,0.015,0.16
27,agentic,42,5,0.65,0.9831136239226907,Best hardware match and containerization available.,BUSY,SUCCESS,SelectionStatus.SELECTED,5,5,hpc,654624.0,5232.0,6819.0,870.0,83525.0,96.0,6.0,5220.0,5949.0,0.65,0.015,0.16
28,agentic,30,64,0.65,1.375679207034409,Lowest queue depth and meets all requirements.,BUSY,SUCCESS,SelectionStatus.SELECTED,8,64,hpc,304658.0,3724.0,4117.0,531.0,39359.0,74.0,7.0,3717.0,3586.0,0.65,0.015,0.16
29,agentic,91,,,1.0692008170299232,All selection strategies failed. AgenticSelector: Does not have correct cmake version and is busy.,,REJECTED,SelectionStatus.REJECTED,2,,,,,,,,,,,,,,
30,agentic,38,,,1.2288083620369434,All selection strategies failed. AgenticSelector: Cluster is busy due to high queue depth.,,REJECTED,SelectionStatus.REJECTED,2,,,,,,,,,,,,,,
31,agentic,9,61,,1.5635921671055257,"All clusters are busy, but cluster 61 has the lowest queue depth.",BUSY,SUCCESS,SelectionStatus.SELECTED,9,61,hpc,1204056.0,2532.0,9556.0,422.0,53172.0,126.0,6.0,2532.0,9135.0,0.65,0.015,0.16
32,agentic,68,76,5.8500000000000005,1.8925320629496127,Cluster 76 has the best combination of low queue depth (29) and the requested software (pennant >= 1.1.2 with MPI and CUDA support) and hardware (H100 GPUs).,BUSY,SUCCESS,SelectionStatus.SELECTED,14,76,hpc,1104480.0,8394.0,9204.0,1396.0,167520.0,120.0,6.0,8376.0,7806.0,0.65,0.015,0.16
33,agentic,72,,,1.059744413010776,All selection strategies failed. AgenticSelector: No cluster has the requested pydantic version and all clusters are busy.,,REJECTED,SelectionStatus.REJECTED,4,,,,,,,,,,,,,,
34,agentic,74,33,1511656.25,1.534691295120865,Cluster 33 reports enough idle nodes to proceed.,BUSY,SUCCESS,SelectionStatus.SELECTED,26,33,hpc,1232896.0,14945.0,9632.0,610.0,78080.0,128.0,7.0,4270.0,7498.0,0.65,0.015,0.16
35,agentic,77,54,1.3,1.658411315176636,"Cluster 54 has the resources requested, and the shortest queue.",BUSY,SUCCESS,SelectionStatus.SELECTED,12,54,hpc,1121456.0,1504.0,9424.0,187.0,22253.0,119.0,8.0,1496.0,9238.0,0.65,0.015,0.16
36,agentic,84,54,0.65,1.952406459953636,Only cluster with scanpy version 3.7.4 available.,BUSY,SUCCESS,SelectionStatus.SELECTED,3,54,hpc,1121456.0,1504.0,9424.0,186.0,22134.0,119.0,8.0,1488.0,9239.0,0.65,0.015,0.16
37,agentic,31,76,0.65,2.5767099647782743,"All clusters are busy, selecting cluster 76 due to the presence of H100 GPUs.",BUSY,SUCCESS,SelectionStatus.SELECTED,31,76,hpc,1104480.0,8394.0,9204.0,1395.0,167400.0,120.0,6.0,8370.0,7807.0,0.65,0.015,0.16
38,agentic,89,25,765196.25,2.223121522925794,"Meets software and hardware requirements. Busy, but has the lowest queue depth of suitable clusters.",BUSY,SUCCESS,SelectionStatus.SELECTED,9,25,hpc,1071720.0,20728.0,8931.0,1506.0,180775.0,120.0,8.0,12048.0,6341.0,0.65,0.015,0.16
39,agentic,41,,,1.0133563128765672,All selection strategies failed. AgenticSelector: No cluster proposals received.,,REJECTED,SelectionStatus.REJECTED,1,,,,,,,,,,,,,,
40,agentic,6,79,0.65,2.181174756027758,"Only candidate with required GPU count and low latency MPI support, but is BUSY and requires user to install petsc4py.",BUSY,SUCCESS,SelectionStatus.SELECTED,1,79,hpc,748604.0,2556.0,7268.0,424.0,43690.0,103.0,6.0,2544.0,6844.0,0.65,0.015,0.16
41,agentic,35,,,0.9898941270075738,All selection strategies failed. AgenticSelector: No proposals received.,,REJECTED,SelectionStatus.REJECTED,1,,,,,,,,,,,,,,
42,agentic,63,7,20594.600000000002,1.9901386701967567,"Meets hardware requirements, has MPICH for low latency, and a shorter queue than cluster 97.",BUSY,SUCCESS,SelectionStatus.SELECTED,2,7,hpc,1112274.0,1092.0,9117.0,3.0,366.0,122.0,6.0,18.0,8937.0,0.65,0.015,0.16
43,agentic,37,,,2.5406992428470403,All selection strategies failed. AgenticSelector: No cluster is READY. All are currently reporting a BUSY status.,,REJECTED,SelectionStatus.REJECTED,12,,,,,,,,,,,,,,
44,agentic,14,,,2.2410826010163873,"All selection strategies failed. AgenticSelector: No READY clusters available. Cluster 64 has the lowest queue depth among BUSY clusters, mixbench available. Low latency MPI may be impacted by queue load.",,REJECTED,SelectionStatus.REJECTED,17,,,,,,,,,,,,,,
