,strategy,prompt_id,worker,cost,latency,reasoning,actual_verdict,status,selection_status,contenders,worker_worker_id,worker_archetype,worker_total_cores,worker_total_gpus,worker_total_nodes,worker_available_nodes,worker_available_cores,worker_cores_per_node,worker_gpus_per_node,worker_available_gpus,worker_queue_depth,worker_pricing_node,worker_pricing_cpu,worker_pricing_gpu
0,min-cost,70,68,13106.6,0.0003894539549946785,Cheapest compatible worker found. Estimated Cost: $13106.6000,BUSY,SUCCESS,SelectionStatus.SELECTED,1,68,hpc,1212498.0,4938.0,9623.0,681.0,85877.0,126.0,6.0,4086.0,8801.0,0.65,0.015,0.16
1,min-cost,69,5,1.3,0.0002612159587442875,Cheapest compatible worker found. Estimated Cost: $0.6500,BUSY,SUCCESS,SelectionStatus.SELECTED,2,5,hpc,654624.0,5232.0,6819.0,871.0,83621.0,96.0,6.0,5226.0,5948.0,0.65,0.015,0.16
2,min-cost,60,,,0.0004910610150545835,All selection strategies failed. MinCostSelector: No READY workers found to calculate cost.,,REJECTED,SelectionStatus.REJECTED,23,,,,,,,,,,,,,,
3,min-cost,42,45,0.65,0.00024068588390946388,Cheapest compatible worker found. Estimated Cost: $0.6500,BUSY,SUCCESS,SelectionStatus.SELECTED,5,45,hpc,991300.0,8148.0,8620.0,1163.0,133745.0,115.0,7.0,8141.0,7457.0,0.65,0.015,0.16
4,min-cost,13,,,0.00046043191105127335,All selection strategies failed. MinCostSelector: No READY workers found to calculate cost.,,REJECTED,SelectionStatus.REJECTED,21,,,,,,,,,,,,,,
5,min-cost,65,,,0.0010271291248500347,All selection strategies failed. MinCostSelector: No READY workers found to calculate cost.,,REJECTED,SelectionStatus.REJECTED,33,,,,,,,,,,,,,,
6,min-cost,28,,,0.00025072507560253143,All selection strategies failed. MinCostSelector: No READY workers found to calculate cost.,,REJECTED,SelectionStatus.REJECTED,3,,,,,,,,,,,,,,
7,min-cost,62,55,29767.399999999998,0.0004162250552326441,Cheapest compatible worker found. Estimated Cost: $29767.4000,BUSY,SUCCESS,SelectionStatus.SELECTED,9,55,hpc,873869.0,489.0,8167.0,-51.0,-5457.0,107.0,3.0,-153.0,8005.0,0.65,0.015,0.16
8,min-cost,25,,,0.00031932792626321316,All selection strategies failed. MinCostSelector: No READY workers found to calculate cost.,,REJECTED,SelectionStatus.REJECTED,6,,,,,,,,,,,,,,
9,min-cost,84,79,0.65,0.00029442994855344296,Cheapest compatible worker found. Estimated Cost: $0.6500,BUSY,SUCCESS,SelectionStatus.SELECTED,3,79,hpc,748604.0,2556.0,7268.0,425.0,43793.0,103.0,6.0,2550.0,6843.0,0.65,0.015,0.16
10,min-cost,86,83,0.65,0.0002934979274868965,Cheapest compatible worker found. Estimated Cost: $0.6500,BUSY,SUCCESS,SelectionStatus.SELECTED,2,83,hpc,451752.0,785.0,5378.0,156.0,13104.0,84.0,5.0,780.0,5222.0,0.65,0.015,0.16
11,min-cost,2,10,0.65,0.000320961931720376,Cheapest compatible worker found. Estimated Cost: $0.6500,BUSY,SUCCESS,SelectionStatus.SELECTED,12,10,hpc,1255776.0,12200.0,9888.0,1524.0,193615.0,127.0,8.0,12192.0,8364.0,0.65,0.015,0.16
