,strategy,prompt_id,worker,cost,latency,reasoning,actual_verdict,status,selection_status,contenders,worker_worker_id,worker_archetype,worker_total_cores,worker_total_gpus,worker_total_nodes,worker_available_nodes,worker_available_cores,worker_cores_per_node,worker_gpus_per_node,worker_available_gpus,worker_queue_depth,worker_pricing_node,worker_pricing_cpu,worker_pricing_gpu
0,queue-depth,49,80,48089.600000000006,0.00026856199838221073,Least busy compatible worker found. Queue Depth: 9800 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,1,80,hpc,1280000,1400,10000,-72,-9216,128,7,-504,9801,0.65,0.015,0.16
1,queue-depth,86,83,0.65,0.0002690330147743225,Least busy compatible worker found. Queue Depth: 5221 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,2,83,hpc,451752,785,5378,156,13104,84,5,780,5222,0.65,0.015,0.16
2,queue-depth,32,64,0.65,0.00033119204454123974,Least busy compatible worker found. Queue Depth: 3585 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,18,64,hpc,304658,3724,4117,531,39359,74,7,3717,3586,0.65,0.015,0.16
3,queue-depth,50,83,78.65,0.00022386806085705757,Least busy compatible worker found. Queue Depth: 5222 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,6,83,hpc,451752,785,5378,145,12180,84,5,725,5223,0.65,0.015,0.16
4,queue-depth,43,73,,0.00019194604828953743,Least busy compatible worker found. Queue Depth: 39 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,2,73,cloud,8128,0,127,88,5676,64,0,0,40,1.5,0.08,1.49
5,queue-depth,14,64,,0.00034899613820016384,Least busy compatible worker found. Queue Depth: 3586 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,17,64,hpc,304658,3724,4117,531,39359,74,7,3717,3587,0.65,0.015,0.16
6,queue-depth,18,2,3920758.4000000004,0.0001950219739228487,Least busy compatible worker found. Queue Depth: 3849 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,3,2,hpc,251328,390,3927,-2378,-152158,64,5,-11890,3850,0.65,0.015,0.16
7,queue-depth,89,2,765196.25,0.00023515895009040833,Least busy compatible worker found. Queue Depth: 3850 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,9,2,hpc,251328,390,3927,-3463,-221598,64,5,-17315,3851,0.65,0.015,0.16
8,queue-depth,67,10,1.3,0.0001671789214015007,Least busy compatible worker found. Queue Depth: 8363 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,2,10,hpc,1255776,12200,9888,1524,193615,127,8,12192,8364,0.65,0.015,0.16
9,queue-depth,15,64,0.65,0.00022164289839565754,Least busy compatible worker found. Queue Depth: 3587 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,5,64,hpc,304658,3724,4117,530,39285,74,7,3710,3588,0.65,0.015,0.16
10,queue-depth,41,77,,0.000198710011318326,Least busy compatible worker found. Queue Depth: 0 jobs.,READY,SUCCESS,SelectionStatus.SELECTED,1,77,standalone,16,0,1,1,11,16,0,0,1,0.12,0.01,0.44
11,queue-depth,76,90,624.6500000000001,0.00022311601787805557,Least busy compatible worker found. Queue Depth: 39 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,8,90,cloud,8384,92,131,61,3922,64,1,61,40,1.5,0.08,1.49
12,queue-depth,16,3,,0.00015590805560350418,Least busy compatible worker found. Queue Depth: 14 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,2,3,cloud,1792,0,28,14,922,64,0,0,15,1.5,0.08,1.49
13,queue-depth,79,16,0.65,0.00016734912060201168,Least busy compatible worker found. Queue Depth: 6589 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,3,16,hpc,1002588,10270,8643,2053,238235,116,5,10265,6590,0.65,0.015,0.16
14,queue-depth,99,83,0.65,0.00016915309242904186,Least busy compatible worker found. Queue Depth: 5223 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,3,83,hpc,451752,785,5378,144,12096,84,5,720,5224,0.65,0.015,0.16
15,queue-depth,82,98,0.65,0.0002411799505352974,Least busy compatible worker found. Queue Depth: 5713 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,2,98,hpc,602164,4158,6406,692,65048,94,6,4152,5714,0.65,0.015,0.16
16,queue-depth,66,78,31.849999999999998,0.00019702687859535217,Least busy compatible worker found. Queue Depth: 5393 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,3,78,hpc,543634,2324,5974,574,52280,91,4,2296,5394,0.65,0.015,0.16
17,queue-depth,93,18,,0.00020219595171511173,Least busy compatible worker found. Queue Depth: 7 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,1,18,cloud,704,0,11,4,309,64,0,0,8,1.5,0.08,1.49
18,queue-depth,40,64,,0.00040583498775959015,Least busy compatible worker found. Queue Depth: 3588 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,34,64,hpc,304658,3724,4117,530,39285,74,7,3710,3589,0.65,0.015,0.16
19,queue-depth,63,97,20594.600000000002,0.00016108714044094086,Least busy compatible worker found. Queue Depth: 5295 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,2,97,hpc,717600,8025,6900,1427,148423,104,5,7135,5296,0.65,0.015,0.16
20,queue-depth,83,2,2.6,0.0002530631609261036,Least busy compatible worker found. Queue Depth: 3851 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,7,2,hpc,251328,390,3927,-3465,-221726,64,5,-17325,3852,0.65,0.015,0.16
21,queue-depth,62,64,29767.399999999998,0.00023006903938949108,Least busy compatible worker found. Queue Depth: 3589 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,9,64,hpc,304658,3724,4117,316,23449,74,7,2212,3590,0.65,0.015,0.16
22,queue-depth,56,82,1.3,0.00016440381295979023,Least busy compatible worker found. Queue Depth: 5543 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,3,82,hpc,497728,113,5656,105,9240,88,1,105,5544,0.65,0.015,0.16
23,queue-depth,23,5,0.65,0.00016183918341994286,Least busy compatible worker found. Queue Depth: 5947 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,1,5,hpc,654624,5232,6819,871,83621,96,6,5226,5948,0.65,0.015,0.16
24,queue-depth,36,4,,0.00020396895706653595,Least busy compatible worker found. Queue Depth: 0 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,12,4,standalone,24,0,1,1,17,24,0,0,1,0.12,0.01,0.44
25,queue-depth,81,72,,0.0002791420556604862,Least busy compatible worker found. Queue Depth: 10 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,16,72,cloud,2624,0,41,31,1987,64,0,0,11,1.5,0.08,1.49
26,queue-depth,46,46,4056.65,0.00019214698113501072,Least busy compatible worker found. Queue Depth: 8146 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,1,46,hpc,1002456,2954,8568,343,40131,117,7,2401,8147,0.65,0.015,0.16
27,queue-depth,84,100,0.65,0.0002892629709094763,Least busy compatible worker found. Queue Depth: 5627 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,3,100,hpc,499467,570,5741,113,9831,87,5,565,5628,0.65,0.015,0.16
28,queue-depth,72,86,144809.6,0.00022620195522904396,Least busy compatible worker found. Queue Depth: 4490 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,4,86,hpc,687888,9016,6744,1782,181784,102,4,7128,4491,0.65,0.015,0.16
29,queue-depth,57,98,0.65,0.00018175714649260044,Least busy compatible worker found. Queue Depth: 5714 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,2,98,hpc,602164,4158,6406,691,64954,94,6,4146,5715,0.65,0.015,0.16
30,queue-depth,45,28,,0.0001870680134743452,Least busy compatible worker found. Queue Depth: 5767 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,4,28,hpc,808562,11557,7418,1651,180026,109,7,11557,5768,0.65,0.015,0.16
31,queue-depth,21,79,473.85,0.0002429939340800047,Least busy compatible worker found. Queue Depth: 6842 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,3,79,hpc,748604,2556,7268,399,41115,103,6,2394,6843,0.65,0.015,0.16
32,queue-depth,92,96,,0.00018262886442244053,Least busy compatible worker found. Queue Depth: 5576 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,3,96,hpc,687456,8208,6944,1368,135432,99,6,8208,5577,0.65,0.015,0.16
33,queue-depth,28,52,,0.0001603460405021906,Least busy compatible worker found. Queue Depth: 0 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,3,52,standalone,24,0,1,1,14,24,0,0,1,0.12,0.01,0.44
34,queue-depth,91,28,0.65,0.00015730015002191067,Least busy compatible worker found. Queue Depth: 5768 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,2,28,hpc,808562,11557,7418,1650,179917,109,7,11550,5769,0.65,0.015,0.16
35,queue-depth,87,78,0.65,0.000213877996429801,Least busy compatible worker found. Queue Depth: 5394 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,1,78,hpc,543634,2324,5974,573,52189,91,4,2292,5395,0.65,0.015,0.16
36,queue-depth,10,86,5776134.65,0.0001749440561980009,Least busy compatible worker found. Queue Depth: 4491 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,2,86,hpc,687888,9016,6744,-1199,-122278,102,4,-4796,4492,0.65,0.015,0.16
37,queue-depth,0,94,0.65,0.0002168240025639534,Least busy compatible worker found. Queue Depth: 6457 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,1,94,hpc,761900,9296,7619,1161,116100,100,8,9288,6458,0.65,0.015,0.16
38,queue-depth,27,2,,0.0002820780500769615,Least busy compatible worker found. Queue Depth: 3852 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,7,2,hpc,251328,390,3927,-3465,-221726,64,5,-17325,3853,0.65,0.015,0.16
39,queue-depth,64,100,156702.65000000002,0.0002995920367538929,Least busy compatible worker found. Queue Depth: 5628 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,6,100,hpc,499467,570,5741,-378,-32886,87,5,-1890,5629,0.65,0.015,0.16
40,queue-depth,47,27,0.65,0.00017743906937539577,Least busy compatible worker found. Queue Depth: 7864 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,2,27,hpc,818448,960,8024,159,16266,102,6,954,7865,0.65,0.015,0.16
41,queue-depth,26,64,0.65,0.00037702987901866436,Least busy compatible worker found. Queue Depth: 3590 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,32,64,hpc,304658,3724,4117,315,23375,74,7,2205,3591,0.65,0.015,0.16
42,queue-depth,44,3,1.5,0.0001345970667898655,Least busy compatible worker found. Queue Depth: 15 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,1,3,cloud,1792,0,28,13,858,64,0,0,16,1.5,0.08,1.49
43,queue-depth,51,64,,0.0004511408042162657,Least busy compatible worker found. Queue Depth: 3591 jobs.,BUSY,SUCCESS,SelectionStatus.SELECTED,33,64,hpc,304658,3724,4117,315,23375,74,7,2205,3592,0.65,0.015,0.16
