,strategy,prompt_id,worker,cost,latency,reasoning,actual_verdict,status,selection_status,contenders,worker_worker_id,worker_archetype,worker_total_cores,worker_total_gpus,worker_total_nodes,worker_available_nodes,worker_available_cores,worker_cores_per_node,worker_gpus_per_node,worker_available_gpus,worker_queue_depth,worker_pricing_node,worker_pricing_cpu,worker_pricing_gpu
0,run-anytime,86,83,0.65,0.0003138571046292782,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,83,hpc,451752,785,5378,156,13104,84,5,780,5222,0.65,0.015,0.16
1,run-anytime,83,78,2.6,0.00022801407612860203,Randomly selected from 7 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,7,78,hpc,543634,2324,5974,579,52735,91,4,2316,5394,0.65,0.015,0.16
2,run-anytime,55,61,16226.6,0.00029763695783913136,Randomly selected from 15 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,15,61,hpc,1204056,2532,9556,264,33264,126,6,1584,9135,0.65,0.015,0.16
3,run-anytime,0,94,0.65,0.0001934280153363943,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,94,hpc,761900,9296,7619,1161,116100,100,8,9288,6458,0.65,0.015,0.16
4,run-anytime,5,35,,0.0002011831384152174,Randomly selected from 4 compatible candidates (Winner was READY).,BUSY,SUCCESS,SelectionStatus.SELECTED,4,35,standalone,26,0,1,1,23,26,0,0,1,0.12,0.01,0.44
5,run-anytime,70,68,13106.6,0.00016667693853378296,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,68,hpc,1212498,4938,9623,681,85877,126,6,4086,8801,0.65,0.015,0.16
6,run-anytime,53,15,0.65,0.0003464589826762676,Randomly selected from 37 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,38,15,hpc,1127524,9968,9242,1423,173606,122,7,9961,7819,0.65,0.015,0.16
7,run-anytime,79,7,0.65,0.00017795898020267487,Randomly selected from 3 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,3,7,hpc,1112274,1092,9117,181,22082,122,6,1086,8936,0.65,0.015,0.16
8,run-anytime,10,96,5776134.65,0.0007295091636478901,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,96,hpc,687456,8208,6944,-1613,-159687,99,6,-9678,5577,0.65,0.015,0.16
9,run-anytime,60,48,,0.00026724906638264656,Randomly selected from 23 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,23,48,hpc,684881,1647,6781,549,55449,101,3,1647,6233,0.65,0.015,0.16
10,run-anytime,14,64,,0.00022775400429964066,Randomly selected from 17 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,17,64,hpc,304658,3724,4117,532,39433,74,7,3724,3586,0.65,0.015,0.16
11,run-anytime,91,28,0.65,0.00015794113278388977,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,28,hpc,808562,11557,7418,1650,179917,109,7,11550,5768,0.65,0.015,0.16
12,run-anytime,34,68,0.65,0.00016764993779361248,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,68,hpc,1212498,4938,9623,680,85751,126,6,4080,8802,0.65,0.015,0.16
13,run-anytime,63,97,20594.600000000002,0.00018516182899475098,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,97,hpc,717600,8025,6900,1427,148423,104,5,7135,5296,0.65,0.015,0.16
14,run-anytime,18,2,3920758.4000000004,0.00018245703540742397,Randomly selected from 3 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,3,2,hpc,251328,390,3927,-2378,-152158,64,5,-11890,3850,0.65,0.015,0.16
15,run-anytime,26,9,0.65,0.00027381093241274357,Randomly selected from 32 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,32,9,hpc,489201,1254,5623,417,36352,87,3,1251,5206,0.65,0.015,0.16
16,run-anytime,19,78,0.65,0.00016567599959671497,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,78,hpc,543634,2324,5974,578,52644,91,4,2312,5395,0.65,0.015,0.16
17,run-anytime,11,15,13456625.0,0.0001893998123705387,Randomly selected from 4 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,4,15,hpc,1127524,9968,9242,-3127,-381494,122,7,-21889,7820,0.65,0.015,0.16
18,run-anytime,74,96,1511656.25,0.00035833194851875305,Randomly selected from 26 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,26,96,hpc,687456,8208,6944,-3138,-310662,99,6,-18828,5578,0.65,0.015,0.16
19,run-anytime,66,66,31.849999999999998,0.0001964240800589323,Randomly selected from 3 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,3,66,hpc,919255,6420,8135,1063,120119,113,6,6378,7066,0.65,0.015,0.16
20,run-anytime,43,79,,0.00020455894991755486,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,79,hpc,748604,2556,7268,426,43896,103,6,2556,6843,0.65,0.015,0.16
21,run-anytime,47,10,0.65,0.00017683696933090687,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,10,hpc,1255776,12200,9888,1524,193615,127,8,12192,8364,0.65,0.015,0.16
22,run-anytime,23,5,0.65,0.00023490795865654945,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,5,hpc,654624,5232,6819,871,83621,96,6,5226,5948,0.65,0.015,0.16
23,run-anytime,30,96,0.65,0.00022493908181786537,Randomly selected from 8 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,8,96,hpc,687456,8208,6944,-3139,-310761,99,6,-18834,5579,0.65,0.015,0.16
24,run-anytime,42,45,0.65,0.00020424905233085155,Randomly selected from 5 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,5,45,hpc,991300,8148,8620,1163,133745,115,7,8141,7457,0.65,0.015,0.16
25,run-anytime,50,5,78.65,0.0002133969683200121,Randomly selected from 6 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,6,5,hpc,654624,5232,6819,860,82565,96,6,5160,5949,0.65,0.015,0.16
26,run-anytime,15,79,0.65,0.0001847720704972744,Randomly selected from 5 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,5,79,hpc,748604,2556,7268,425,43793,103,6,2550,6844,0.65,0.015,0.16
27,run-anytime,1,86,,0.0002190771047025919,Randomly selected from 4 compatible candidates (Winner was BUSY).,READY,SUCCESS,SelectionStatus.SELECTED,4,86,hpc,687888,9016,6744,2254,229928,102,4,9016,4491,0.65,0.015,0.16
28,run-anytime,41,77,,0.00017550401389598846,Randomly selected from 1 compatible candidates (Winner was READY).,READY,SUCCESS,SelectionStatus.SELECTED,1,77,standalone,16,0,1,1,11,16,0,0,1,0.12,0.01,0.44
29,run-anytime,87,78,0.65,0.00025189900770783424,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,78,hpc,543634,2324,5974,577,52553,91,4,2308,5396,0.65,0.015,0.16
30,run-anytime,40,98,,0.00038981204852461815,Randomly selected from 34 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,34,98,hpc,602164,4158,6406,693,65142,94,6,4158,5714,0.65,0.015,0.16
31,run-anytime,31,2,0.65,0.0003783600404858589,Randomly selected from 31 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,31,2,hpc,251328,390,3927,-2379,-152222,64,5,-11895,3851,0.65,0.015,0.16
32,run-anytime,92,96,,0.0002218631561845541,Randomly selected from 3 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,3,96,hpc,687456,8208,6944,-3139,-310761,99,6,-18834,5580,0.65,0.015,0.16
33,run-anytime,32,66,0.65,0.0003349878825247288,Randomly selected from 18 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,18,66,hpc,919255,6420,8135,1062,120006,113,6,6372,7067,0.65,0.015,0.16
34,run-anytime,35,82,,0.00024227099493145943,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,82,hpc,497728,113,5656,113,9944,88,1,113,5544,0.65,0.015,0.16
35,run-anytime,56,68,1.3,0.00025315210223197937,Randomly selected from 3 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,3,68,hpc,1212498,4938,9623,678,85499,126,6,4068,8803,0.65,0.015,0.16
36,run-anytime,98,2,0.65,0.00023507792502641678,Randomly selected from 3 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,3,2,hpc,251328,390,3927,-2380,-152286,64,5,-11900,3852,0.65,0.015,0.16
37,run-anytime,37,78,5.8500000000000005,0.0002440649550408125,Randomly selected from 12 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,12,78,hpc,543634,2324,5974,574,52280,91,4,2296,5397,0.65,0.015,0.16
38,run-anytime,75,79,0.65,0.00019046291708946228,Randomly selected from 5 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,5,79,hpc,748604,2556,7268,424,43690,103,6,2544,6845,0.65,0.015,0.16
39,run-anytime,25,80,,0.00019558309577405453,Randomly selected from 6 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,6,80,hpc,1280000,1400,10000,200,25600,128,7,1400,9801,0.65,0.015,0.16
40,run-anytime,24,15,0.65,0.00017970195040106773,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,15,hpc,1127524,9968,9242,-3128,-381616,122,7,-21896,7821,0.65,0.015,0.16
41,run-anytime,97,51,0.65,0.00030923914164304733,Randomly selected from 35 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,35,51,hpc,637320,810,6780,134,12596,94,6,804,6646,0.65,0.015,0.16
42,run-anytime,58,78,0.65,0.00016205781139433384,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,78,hpc,543634,2324,5974,573,52189,91,4,2292,5398,0.65,0.015,0.16
43,run-anytime,45,15,,0.0002120130229741335,Randomly selected from 4 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,4,15,hpc,1127524,9968,9242,-3128,-381616,122,7,-21896,7822,0.65,0.015,0.16
44,run-anytime,51,27,,0.0017698900774121284,Randomly selected from 33 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,33,27,hpc,818448,960,8024,160,16368,102,6,960,7865,0.65,0.015,0.16
45,run-anytime,27,2,,0.00030313688330352306,Randomly selected from 7 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,7,2,hpc,251328,390,3927,-2380,-152286,64,5,-11900,3853,0.65,0.015,0.16
46,run-anytime,90,75,0.65,0.00035323319025337696,Randomly selected from 11 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,11,75,hpc,1179375,9108,9435,1517,189640,125,6,9102,7918,0.65,0.015,0.16
47,run-anytime,73,75,0.65,0.00037100701592862606,Randomly selected from 22 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,22,75,hpc,1179375,9108,9435,1516,189515,125,6,9096,7919,0.65,0.015,0.16
48,run-anytime,69,5,1.3,0.00020129303447902203,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,5,hpc,654624,5232,6819,859,82469,96,6,5154,5950,0.65,0.015,0.16
49,run-anytime,33,42,0.65,0.00024136994034051895,Randomly selected from 17 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,17,42,hpc,768200,1071,7682,152,15200,100,7,1064,7530,0.65,0.015,0.16
50,run-anytime,20,90,23064.0,0.00022791395895183086,Randomly selected from 15 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,15,90,cloud,8384,92,131,-32,-2030,64,1,-32,40,1.5,0.08,1.49
51,run-anytime,72,54,144809.6,0.00015551596879959106,Randomly selected from 4 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,4,54,hpc,1121456,1504,9424,-284,-33796,119,8,-2272,9237,0.65,0.015,0.16
52,run-anytime,2,42,0.65,0.00019836705178022385,Randomly selected from 12 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,12,42,hpc,768200,1071,7682,151,15100,100,7,1057,7531,0.65,0.015,0.16
53,run-anytime,3,46,0.65,0.00024223118089139462,Randomly selected from 18 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,18,46,hpc,1002456,2954,8568,421,49257,117,7,2947,8147,0.65,0.015,0.16
54,run-anytime,44,3,1.5,0.00014164019376039505,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,3,cloud,1792,0,28,13,858,64,0,0,15,1.5,0.08,1.49
55,run-anytime,22,5,0.65,0.00021743401885032654,Randomly selected from 8 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,8,5,hpc,654624,5232,6819,858,82373,96,6,5148,5951,0.65,0.015,0.16
56,run-anytime,9,97,,0.00034080795012414455,Randomly selected from 9 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,9,97,hpc,717600,8025,6900,1427,148423,104,5,7135,5297,0.65,0.015,0.16
57,run-anytime,36,16,,0.0010339189320802689,Randomly selected from 12 compatible candidates (Winner was BUSY).,READY,SUCCESS,SelectionStatus.SELECTED,12,16,hpc,1002588,10270,8643,2054,238351,116,5,10270,6590,0.65,0.015,0.16
58,run-anytime,6,79,0.65,0.00027771899476647377,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,79,hpc,748604,2556,7268,423,43587,103,6,2538,6846,0.65,0.015,0.16
59,run-anytime,62,15,29767.399999999998,0.0003239770885556936,Randomly selected from 9 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,9,15,hpc,1127524,9968,9242,-3342,-407724,122,7,-23394,7823,0.65,0.015,0.16
60,run-anytime,21,27,473.85,0.00026852195151150227,Randomly selected from 3 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,3,27,hpc,818448,960,8024,133,13614,102,6,798,7866,0.65,0.015,0.16
61,run-anytime,48,23,1.5,0.00021125213243067265,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,23,cloud,7680,102,120,101,6517,64,1,101,19,1.5,0.08,1.49
62,run-anytime,67,10,1.3,0.00026278989389538765,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,10,hpc,1255776,12200,9888,1523,193488,127,8,12184,8365,0.65,0.015,0.16
63,run-anytime,17,7,0.65,0.0003123548813164234,Randomly selected from 7 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,7,7,hpc,1112274,1092,9117,180,21960,122,6,1080,8937,0.65,0.015,0.16
64,run-anytime,84,100,0.65,0.0002198179718106985,Randomly selected from 3 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,3,100,hpc,499467,570,5741,113,9831,87,5,565,5628,0.65,0.015,0.16
65,run-anytime,61,60,0.12,0.000253261998295784,Randomly selected from 18 compatible candidates (Winner was READY).,READY,SUCCESS,SelectionStatus.SELECTED,18,60,standalone,20,0,1,0,-4,20,0,0,1,0.12,0.01,0.44
66,run-anytime,68,78,5.8500000000000005,0.00034069805406033993,Randomly selected from 14 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,14,78,hpc,543634,2324,5974,570,51916,91,4,2280,5399,0.65,0.015,0.16
67,run-anytime,57,5,0.65,0.00023965607397258282,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,5,hpc,654624,5232,6819,857,82277,96,6,5142,5952,0.65,0.015,0.16
68,run-anytime,77,16,1.3,0.00022764317691326141,Randomly selected from 12 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,12,16,hpc,1002588,10270,8643,2052,238119,116,5,10260,6591,0.65,0.015,0.16
69,run-anytime,94,75,1.3,0.00021490897051990032,Randomly selected from 4 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,4,75,hpc,1179375,9108,9435,1514,189265,125,6,9084,7920,0.65,0.015,0.16
70,run-anytime,89,46,765196.25,0.00019762595184147358,Randomly selected from 9 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,9,46,hpc,1002456,2954,8568,-664,-77688,117,7,-4648,8148,0.65,0.015,0.16
71,run-anytime,16,66,,0.00018711714074015617,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,66,hpc,919255,6420,8135,1062,120006,113,6,6372,7068,0.65,0.015,0.16
72,run-anytime,13,15,,0.00022367597557604313,Randomly selected from 21 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,21,15,hpc,1127524,9968,9242,-3342,-407724,122,7,-23394,7824,0.65,0.015,0.16
73,run-anytime,76,25,624.6500000000001,0.00024431594647467136,Randomly selected from 8 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,8,25,hpc,1071720,20728,8931,2560,307255,120,8,20480,6341,0.65,0.015,0.16
74,run-anytime,39,44,,0.0003668181598186493,Randomly selected from 34 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,34,44,hpc,629424,2244,6696,748,70355,94,3,2244,5949,0.65,0.015,0.16
75,run-anytime,71,17,,0.00024900399148464203,Randomly selected from 11 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,11,17,cloud,2816,0,44,29,1875,64,0,0,16,1.5,0.08,1.49
76,run-anytime,46,46,4056.65,0.0003112030681222677,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,46,hpc,1002456,2954,8568,-743,-86931,117,7,-5201,8149,0.65,0.015,0.16
77,run-anytime,49,80,48089.600000000006,0.0002528310287743807,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,80,hpc,1280000,1400,10000,-72,-9216,128,7,-504,9802,0.65,0.015,0.16
78,run-anytime,82,98,0.65,0.00022082985378801823,Randomly selected from 2 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,98,hpc,602164,4158,6406,692,65048,94,6,4152,5715,0.65,0.015,0.16
79,run-anytime,99,83,0.65,0.00021332595497369766,Randomly selected from 3 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,3,83,hpc,451752,785,5378,155,13020,84,5,775,5223,0.65,0.015,0.16
80,run-anytime,38,77,,0.00019840802997350693,Randomly selected from 2 compatible candidates (Winner was READY).,BUSY,SUCCESS,SelectionStatus.SELECTED,2,77,standalone,16,0,1,1,11,16,0,0,2,0.12,0.01,0.44
81,run-anytime,64,79,156702.65000000002,0.000317014055326581,Randomly selected from 6 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,6,79,hpc,748604,2556,7268,-68,-6986,103,6,-408,6847,0.65,0.015,0.16
82,run-anytime,65,9,,0.0003660570364445448,Randomly selected from 33 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,33,9,hpc,489201,1254,5623,417,36352,87,3,1251,5207,0.65,0.015,0.16
83,run-anytime,28,41,,0.00020986981689929962,Randomly selected from 3 compatible candidates (Winner was BUSY).,READY,SUCCESS,SelectionStatus.SELECTED,3,41,hpc,1271296,6040,9932,755,96640,128,8,6040,9178,0.65,0.015,0.16
84,run-anytime,4,79,0.65,0.00022479798644781113,Randomly selected from 4 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,4,79,hpc,748604,2556,7268,-69,-7089,103,6,-414,6848,0.65,0.015,0.16
85,run-anytime,93,18,,0.00020886794663965702,Randomly selected from 1 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,1,18,cloud,704,0,11,4,309,64,0,0,8,1.5,0.08,1.49
86,run-anytime,52,27,0.65,0.0003974069841206074,Randomly selected from 15 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,15,27,hpc,818448,960,8024,132,13512,102,6,792,7867,0.65,0.015,0.16
87,run-anytime,81,44,,0.00033408612944185734,Randomly selected from 16 compatible candidates (Winner was BUSY).,BUSY,SUCCESS,SelectionStatus.SELECTED,16,44,hpc,629424,2244,6696,748,70355,94,3,2244,5950,0.65,0.015,0.16
