model	app	subject	variant	field	value	confidence	evidence_count
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	communication.model	mixed	high	2
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	communication.pattern	neighbor	high	2
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	communication.intensity	high	medium	2
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	communication.latency_sensitive	True	high	2
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	communication.bandwidth_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	parallelism	['mpi', 'threaded', 'process']	high	3
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	launch.launcher	mpirun	high	1
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	launch.tasks	4	high	2
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	launch.threads_per_task	3	high	2
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	accelerator.kind	none	high	1
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	memory.numa_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	memory.shared_memory	False	low	1
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	io.parallel_io	none	high	2
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	io.checkpoint	False	high	1
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	topology.span	either	medium	2
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	topology.placement	neighbor	medium	2
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	topology.co_location	preferred	medium	2
us.anthropic.claude-opus-4-8	AMG:mpi+openmp	amg	mpi+openmp	accelerator.multi_gpu	False	high	2
us.anthropic.claude-opus-4-8	AMG2023:mpi-openmp	amg	mpi-openmp	communication.intensity	high	medium	2
us.anthropic.claude-opus-4-8	AMG2023:mpi-openmp	amg	mpi-openmp	communication.latency_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	AMG2023:mpi-openmp	amg	mpi-openmp	communication.bandwidth_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	AMG2023:mpi-openmp	amg	mpi-openmp	memory.numa_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	AMG2023:mpi-openmp	amg	mpi-openmp	topology.span	either	medium	2
us.anthropic.claude-opus-4-8	AMG2023:mpi-openmp	amg	mpi-openmp	topology.placement	neighbor	medium	2
us.anthropic.claude-opus-4-8	AMG2023:mpi-openmp	amg	mpi-openmp	topology.co_location	preferred	medium	2
us.anthropic.claude-opus-4-8	AMG2023:mpi-openmp	amg	mpi-openmp	io.checkpoint	False	medium	1
us.anthropic.claude-opus-4-8	AMG2023:mpi-openmp	amg	mpi-openmp	parallelism	['mpi', 'threaded']	high	3
us.anthropic.claude-opus-4-8	AMG2023:mpi-openmp	amg	mpi-openmp	communication.model	mixed	high	3
us.anthropic.claude-opus-4-8	AMG2023:mpi-openmp	amg	mpi-openmp	communication.pattern	neighbor	high	3
us.anthropic.claude-opus-4-8	AMG2023:mpi-openmp	amg	mpi-openmp	launch.launcher	mpirun	medium	2
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	topology.co_location	required	medium	2
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	topology.placement	neighbor	medium	2
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	topology.span	either	medium	2
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	memory.hugepages	False	medium	2
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	communication.latency_sensitive	True	medium	1
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	communication.bandwidth_sensitive	True	medium	1
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	parallelism	['mpi', 'gpu']	high	3
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	accelerator.kind	cuda	high	2
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	accelerator.multi_gpu	True	medium	2
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	memory.numa_sensitive	True	high	1
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	accelerator.gpu_comm	gpu_aware_mpi	medium	2
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	communication.model	mixed	high	2
us.anthropic.claude-opus-4-8	AMG2023:gpu-cuda-hip	amg	gpu-cuda-hip	communication.pattern	neighbor	high	2
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	parallelism	['mpi', 'threaded']	high	3
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	communication.model	mixed	high	3
