
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      90.97
2                     102.17
4                      95.80
8                     102.69
16                    109.87
32                     96.99
64                    108.86
128                   102.93
256                   100.36
512                   103.90
1024                  110.84
2048                  118.47
4096                  123.96
8192                  220.64
16384                 313.41
32768                 564.25
65536                1326.99
131072               2577.13
262144               1879.93
524288               3279.96
1048576              7116.34
