
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     162.46
2                     162.13
4                     164.81
8                     158.45
16                    180.94
32                    187.18
64                    210.80
128                   153.13
256                   168.12
512                   153.03
1024                  175.31
2048                  189.74
4096                  332.73
8192                  371.42
16384                 409.04
32768                 376.19
65536                 575.98
131072               1016.21
262144               2351.01
524288               4386.85
1048576              9231.42
