
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     159.97
2                     160.31
4                     153.75
8                     161.49
16                    185.98
32                    174.92
64                    159.03
128                   151.73
256                   154.19
512                   186.81
1024                  159.75
2048                  188.96
4096                  336.76
8192                  360.80
16384                 338.90
32768                 382.84
65536                 555.11
131072               1032.57
262144               2507.49
524288               8283.26
1048576             16538.16
