
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     159.80
2                     156.91
4                     156.62
8                     149.10
16                    160.60
32                    163.77
64                    157.21
128                   162.34
256                   163.00
512                   319.03
1024                  393.50
2048                  180.45
4096                  364.99
8192                  354.25
16384                 388.38
32768                 386.93
65536                 553.10
131072               1130.65
262144               2340.38
524288               4649.89
1048576              9248.71
