# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.42
2                       7.40
4                       7.41
8                       7.67
16                      7.68
32                      7.68
64                      7.77
128                     7.79
256                     7.81
512                     7.85
1024                    7.94
2048                    8.22
4096                    8.65
8192                    9.44
16384                  10.33
32768                  12.01
65536                  14.59
131072                 35.13
262144                 45.94
524288                 84.22
1048576                76.69
2097152               128.42
4194304               239.58
