# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.40
2                       7.41
4                       7.39
8                       7.68
16                      7.69
32                      7.68
64                      7.78
128                     7.79
256                     7.81
512                     7.84
1024                    7.93
2048                    8.22
4096                    8.68
8192                    9.45
16384                  10.35
32768                  12.04
65536                  14.60
131072                 35.03
262144                 45.92
524288                 84.14
1048576                76.71
2097152               128.52
4194304               237.95
