# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       7.41
2                       7.41
4                       7.40
8                       7.68
16                      7.68
32                      7.69
64                      7.78
128                     7.81
256                     7.82
512                     7.85
1024                    7.95
2048                    8.21
4096                    8.66
8192                    9.48
16384                  10.35
32768                  12.09
65536                  14.66
131072                 35.20
262144                 45.90
524288                 84.16
1048576                76.72
2097152               128.91
4194304               239.03
